,12,24,36,48
count,459.0,565.0,340.0,315.0
mean,-17.15904139433551,-23.283185840707965,-32.411764705882355,-36.6031746031746
std,9.422331317850603,11.262084940556512,14.09746446178383,15.243814327133391
min,-60.0,-70.0,-80.0,-95.0
1%,-47.1,-55.0,-75.0,-79.3
2%,-40.0,-50.0,-66.1,-70.0
3%,-36.3,-45.0,-60.0,-65.0
4%,-35.0,-45.0,-60.0,-65.0
5%,-35.0,-40.0,-55.0,-60.0
6%,-30.0,-40.0,-55.0,-60.0
7%,-30.0,-40.0,-50.0,-60.0
8%,-30.0,-40.0,-50.0,-60.0
9%,-30.0,-40.0,-50.0,-60.0
10%,-30.0,-35.0,-50.0,-55.0
11%,-30.0,-35.0,-50.0,-55.0
12%,-25.199999999999996,-35.0,-50.0,-55.0
13%,-25.0,-35.0,-45.0,-55.0
14%,-25.0,-35.0,-45.0,-50.0
15%,-25.0,-35.0,-45.0,-50.0
16%,-25.0,-35.0,-45.0,-50.0
17%,-25.0,-35.0,-45.0,-50.0
18%,-25.0,-32.40000000000002,-45.0,-50.0
19%,-25.0,-30.0,-45.0,-50.0
20%,-25.0,-30.0,-45.0,-50.0
21%,-25.0,-30.0,-45.0,-50.0
22%,-25.0,-30.0,-45.0,-45.0
23%,-23.299999999999983,-30.0,-40.0,-45.0
24%,-20.0,-30.0,-40.0,-45.0
25%,-20.0,-30.0,-40.0,-45.0
26%,-20.0,-30.0,-40.0,-45.0
27%,-20.0,-30.0,-40.0,-45.0
28%,-20.0,-30.0,-40.0,-45.0
29%,-20.0,-30.0,-40.0,-45.0
30%,-20.0,-30.0,-40.0,-45.0
31%,-20.0,-30.0,-40.0,-43.29999999999998
32%,-20.0,-25.0,-40.0,-40.0
33%,-20.0,-25.0,-35.0,-40.0
34%,-20.0,-25.0,-35.0,-40.0
35%,-20.0,-25.0,-35.0,-40.0
36%,-20.0,-25.0,-35.0,-40.0
37%,-20.0,-25.0,-35.0,-40.0
38%,-20.0,-25.0,-35.0,-40.0
39%,-20.0,-25.0,-35.0,-40.0
40%,-20.0,-25.0,-35.0,-40.0
41%,-20.0,-25.0,-35.0,-40.0
42%,-20.0,-25.0,-35.0,-40.0
43%,-16.24000000000001,-25.0,-35.0,-40.0
44%,-15.0,-25.0,-35.0,-40.0
45%,-15.0,-25.0,-35.0,-35.0
46%,-15.0,-25.0,-35.0,-35.0
47%,-15.0,-25.0,-30.0,-35.0
48%,-15.0,-25.0,-30.0,-35.0
49%,-15.0,-25.0,-30.0,-35.0
50%,-15.0,-20.0,-30.0,-35.0
51%,-15.0,-20.0,-30.0,-35.0
52%,-15.0,-20.0,-30.0,-35.0
53%,-15.0,-20.0,-30.0,-35.0
54%,-15.0,-20.0,-30.0,-35.0
55%,-15.0,-20.0,-30.0,-35.0
56%,-15.0,-20.0,-30.0,-35.0
57%,-15.0,-20.0,-30.0,-35.0
58%,-15.0,-20.0,-30.0,-35.0
59%,-15.0,-20.0,-30.0,-35.0
60%,-15.0,-20.0,-30.0,-32.99999999999997
61%,-15.0,-20.0,-30.0,-30.0
62%,-15.0,-20.0,-30.0,-30.0
63%,-15.0,-20.0,-30.0,-30.0
64%,-15.0,-20.0,-25.19999999999996,-30.0
65%,-15.0,-20.0,-25.0,-30.0
66%,-15.0,-20.0,-25.0,-30.0
67%,-15.0,-20.0,-25.0,-30.0
68%,-15.0,-20.0,-25.0,-30.0
69%,-15.0,-20.0,-25.0,-30.0
70%,-10.0,-15.0,-25.0,-30.0
71%,-10.0,-15.0,-25.0,-30.0
72%,-10.0,-15.0,-25.0,-30.0
73%,-10.0,-15.0,-25.0,-30.0
74%,-10.0,-15.0,-25.0,-25.0
75%,-10.0,-15.0,-25.0,-25.0
76%,-10.0,-15.0,-25.0,-25.0
77%,-10.0,-15.0,-20.0,-25.0
78%,-10.0,-15.0,-20.0,-25.0
79%,-10.0,-15.0,-20.0,-25.0
80%,-10.0,-15.0,-20.0,-25.0
81%,-10.0,-15.0,-20.0,-25.0
82%,-10.0,-15.0,-20.0,-25.0
83%,-10.0,-15.0,-20.0,-25.0
84%,-10.0,-15.0,-20.0,-25.0
85%,-10.0,-10.0,-20.0,-20.500000000000114
86%,-10.0,-10.0,-20.0,-20.0
87%,-10.0,-10.0,-15.0,-20.0
88%,-10.0,-10.0,-15.0,-20.0
89%,-5.0,-10.0,-15.0,-20.0
90%,-5.0,-10.0,-15.0,-20.0
91%,-5.0,-10.0,-15.0,-20.0
92%,-5.0,-10.0,-15.0,-20.0
93%,-5.0,-10.0,-15.0,-15.0
94%,-5.0,-10.0,-15.0,-15.0
95%,-5.0,-10.0,-10.0,-15.0
96%,-5.0,-5.0,-10.0,-10.0
97%,0.0,-5.0,-10.0,-5.0
98%,0.0,-5.0,-5.0,-5.0
99%,2.1000000000000796,0.0,0.0,0.0
max,10.0,5.0,5.0,5.0
