,12,24,48
count,42.0,18.0,2.0
mean,6.428571428571429,16.11111111111111,15.0
std,7.265497673662351,14.095843729891316,0.0
min,-5.0,-5.0,15.0
1%,-5.0,-3.3,15.0
2%,-5.0,-1.5999999999999996,15.0
3%,-5.0,0.09999999999999964,15.0
4%,-5.0,1.8000000000000007,15.0
5%,-5.0,3.500000000000001,15.0
6%,-5.0,5.0,15.0
7%,-5.0,5.0,15.0
8%,-3.5999999999999988,5.0,15.0
9%,-1.5500000000000003,5.0,15.0
10%,0.0,5.0,15.0
11%,0.0,5.0,15.0
12%,0.0,5.0,15.0
13%,0.0,5.0,15.0
14%,0.0,5.0,15.0
15%,0.0,5.0,15.0
16%,0.0,5.0,15.0
17%,0.0,5.0,15.0
18%,0.0,5.0,15.0
19%,0.0,5.0,15.0
20%,0.0,5.0,15.0
21%,0.0,5.0,15.0
22%,0.0,5.0,15.0
23%,0.0,5.0,15.0
24%,0.0,5.0,15.0
25%,1.25,5.0,15.0
26%,3.3000000000000007,5.0,15.0
27%,5.0,5.0,15.0
28%,5.0,5.0,15.0
29%,5.0,5.0,15.0
30%,5.0,5.0,15.0
31%,5.0,5.0,15.0
32%,5.0,5.0,15.0
33%,5.0,5.0,15.0
34%,5.0,5.0,15.0
35%,5.0,5.0,15.0
36%,5.0,5.6000000000000005,15.0
37%,5.0,6.45,15.0
38%,5.0,7.3,15.0
39%,5.0,8.149999999999999,15.0
40%,5.0,9.000000000000004,15.0
41%,5.0,9.849999999999998,15.0
42%,5.0,10.7,15.0
43%,5.0,11.549999999999997,15.0
44%,5.0,12.400000000000002,15.0
45%,5.0,13.250000000000002,15.0
46%,5.0,14.100000000000001,15.0
47%,5.0,14.949999999999996,15.0
48%,5.0,15.0,15.0
49%,5.0,15.0,15.0
50%,5.0,15.0,15.0
51%,5.0,15.0,15.0
52%,5.0,15.0,15.0
53%,5.0,15.0,15.0
54%,5.0,15.0,15.0
55%,5.0,15.0,15.0
56%,5.0,15.0,15.0
57%,5.0,15.0,15.0
58%,5.0,15.0,15.0
59%,5.0,15.149999999999997,15.0
60%,5.0,15.999999999999996,15.0
61%,5.0,16.849999999999994,15.0
62%,5.0,17.699999999999996,15.0
63%,5.0,18.550000000000004,15.0
64%,5.0,19.400000000000006,15.0
65%,5.0,20.0,15.0
66%,5.300000000000011,20.0,15.0
67%,7.350000000000012,20.0,15.0
68%,9.400000000000013,20.0,15.0
69%,10.0,20.0,15.0
70%,10.0,20.0,15.0
71%,10.0,20.0,15.0
72%,10.0,20.0,15.0
73%,10.0,20.0,15.0
74%,10.0,20.0,15.0
75%,10.0,20.0,15.0
76%,10.0,20.0,15.0
77%,10.0,20.45,15.0
78%,10.0,21.299999999999997,15.0
79%,11.950000000000003,22.15,15.0
80%,14.000000000000021,23.000000000000007,15.0
81%,15.0,23.85000000000001,15.0
82%,15.0,24.699999999999996,15.0
83%,15.0,26.099999999999994,15.0
84%,15.0,27.799999999999994,15.0
85%,15.0,29.499999999999993,15.0
86%,15.0,31.199999999999992,15.0
87%,15.0,32.89999999999999,15.0
88%,15.0,34.60000000000001,15.0
89%,15.0,36.30000000000001,15.0
90%,15.0,38.00000000000001,15.0
91%,15.0,39.7,15.0
92%,15.0,41.400000000000006,15.0
93%,15.0,43.10000000000001,15.0
94%,15.0,44.79999999999998,15.0
95%,15.0,45.0,15.0
96%,16.799999999999997,45.0,15.0
97%,18.84999999999998,45.0,15.0
98%,21.799999999999997,45.0,15.0
99%,25.899999999999963,45.0,15.0
max,30.0,45.0,15.0
