,0,12,24,36,48,60,72,96,120,144,168
count,10868.0,9885.0,8879.0,7926.0,7029.0,830.0,5568.0,2912.0,2284.0,0.0,0.0
mean,-0.7982149429517851,-0.14881133029843197,-0.009010023651312085,-0.13247539742619227,-0.2496798975672215,0.0783132530120482,-0.17869971264367815,-0.9117445054945055,-1.7053415061295971,,
std,4.078353838861757,8.676956197422934,12.686985237358126,15.582935343577203,18.10213707004033,14.488459266472383,21.811269747911336,21.977193124597,24.004787583087786,,
min,-35.0,-60.0,-70.0,-80.0,-95.0,-55.0,-90.0,-90.0,-100.0,,
1%,-15.0,-25.0,-35.0,-45.0,-50.0,-40.0,-60.0,-60.0,-70.0,,
2%,-10.0,-20.0,-30.0,-35.0,-40.0,-35.0,-50.0,-50.0,-60.0,,
3%,-10.0,-20.0,-25.0,-30.0,-35.0,-30.650000000000013,-45.0,-45.0,-50.0,,
4%,-10.0,-15.0,-25.0,-30.0,-35.0,-30.0,-40.0,-45.0,-45.0,,
5%,-5.0,-15.0,-20.0,-25.0,-30.0,-25.0,-40.0,-40.0,-40.0,,
6%,-5.0,-15.0,-20.0,-25.0,-30.0,-25.0,-35.0,-35.0,-40.0,,
7%,-5.0,-10.0,-20.0,-25.0,-30.0,-25.0,-35.0,-35.0,-35.0,,
8%,-5.0,-10.0,-15.0,-20.0,-25.0,-20.0,-30.0,-30.0,-35.0,,
9%,-5.0,-10.0,-15.0,-20.0,-25.0,-20.0,-30.0,-30.0,-35.0,,
10%,-5.0,-10.0,-15.0,-20.0,-25.0,-20.0,-30.0,-30.0,-30.0,,
11%,-5.0,-10.0,-15.0,-20.0,-20.0,-15.0,-25.0,-25.0,-30.0,,
12%,-5.0,-10.0,-15.0,-15.0,-20.0,-15.0,-25.0,-25.0,-30.0,,
13%,-5.0,-10.0,-15.0,-15.0,-20.0,-15.0,-25.0,-25.0,-25.0,,
14%,-5.0,-10.0,-10.0,-15.0,-20.0,-15.0,-25.0,-25.0,-25.0,,
15%,-5.0,-10.0,-10.0,-15.0,-20.0,-15.0,-20.0,-20.0,-25.0,,
16%,-5.0,-5.0,-10.0,-15.0,-15.0,-15.0,-20.0,-20.0,-25.0,,
17%,-5.0,-5.0,-10.0,-15.0,-15.0,-15.0,-20.0,-20.0,-25.0,,
18%,-5.0,-5.0,-10.0,-15.0,-15.0,-10.0,-20.0,-20.0,-20.0,,
19%,-5.0,-5.0,-10.0,-10.0,-15.0,-10.0,-15.0,-20.0,-20.0,,
20%,-5.0,-5.0,-10.0,-10.0,-15.0,-10.0,-15.0,-15.0,-20.0,,
21%,-5.0,-5.0,-10.0,-10.0,-15.0,-10.0,-15.0,-15.0,-20.0,,
22%,-5.0,-5.0,-10.0,-10.0,-10.0,-10.0,-15.0,-15.0,-15.0,,
23%,0.0,-5.0,-10.0,-10.0,-10.0,-10.0,-15.0,-15.0,-15.0,,
24%,0.0,-5.0,-5.0,-10.0,-10.0,-10.0,-15.0,-15.0,-15.0,,
