,12,24,36,48,60,72
count,652.0,830.0,585.0,490.0,41.0,335.0
mean,-15.414110429447852,-22.879518072289155,-32.333333333333336,-37.724489795918366,-28.170731707317074,-40.44776119402985
std,8.906252673725772,12.42676747299068,14.976579890131106,17.349281210834512,15.959170465635722,18.117450797942155
min,-55.0,-75.0,-100.0,-105.0,-60.0,-110.0
1%,-45.0,-60.0,-70.0,-81.65,-56.0,-88.3
2%,-35.0,-50.0,-70.0,-75.0,-52.0,-80.0
3%,-35.0,-45.65000000000001,-62.400000000000006,-70.0,-50.0,-75.0
4%,-30.0,-45.0,-60.0,-70.0,-50.0,-75.0
5%,-30.0,-45.0,-55.0,-67.74999999999999,-50.0,-70.0
6%,-30.0,-45.0,-55.0,-65.0,-50.0,-70.0
7%,-30.0,-40.0,-55.0,-65.0,-50.0,-65.0
8%,-25.0,-40.0,-55.0,-60.0,-50.0,-65.0
9%,-25.0,-40.0,-55.0,-60.0,-50.0,-65.0
10%,-25.0,-40.0,-50.0,-60.0,-50.0,-65.0
11%,-25.0,-40.0,-50.0,-60.0,-48.0,-60.0
12%,-25.0,-35.0,-50.0,-55.0,-46.0,-60.0
13%,-25.0,-35.0,-50.0,-55.0,-45.0,-60.0
14%,-25.0,-35.0,-50.0,-55.0,-45.0,-60.0
15%,-25.0,-35.0,-45.0,-55.0,-45.0,-59.49999999999999
16%,-25.0,-35.0,-45.0,-55.0,-43.0,-55.0
17%,-25.0,-35.0,-45.0,-55.0,-41.0,-55.0
18%,-25.0,-35.0,-45.0,-50.0,-40.0,-55.0
19%,-20.0,-30.0,-45.0,-50.0,-40.0,-55.0
20%,-20.0,-30.0,-45.0,-50.0,-40.0,-55.0
21%,-20.0,-30.0,-45.0,-50.0,-38.0,-55.0
22%,-20.0,-30.0,-45.0,-50.0,-36.0,-55.0
23%,-20.0,-30.0,-43.400000000000034,-50.0,-35.0,-55.0
24%,-20.0,-30.0,-40.0,-50.0,-35.0,-55.0
25%,-20.0,-30.0,-40.0,-50.0,-35.0,-50.0
26%,-20.0,-30.0,-40.0,-50.0,-35.0,-50.0
27%,-20.0,-30.0,-40.0,-45.0,-35.0,-50.0
28%,-20.0,-30.0,-40.0,-45.0,-35.0,-50.0
29%,-20.0,-30.0,-40.0,-45.0,-35.0,-50.0
30%,-20.0,-30.0,-40.0,-45.0,-35.0,-50.0
31%,-20.0,-25.0,-40.0,-45.0,-35.0,-50.0
32%,-20.0,-25.0,-40.0,-45.0,-35.0,-50.0
33%,-20.0,-25.0,-35.0,-45.0,-35.0,-50.0
34%,-20.0,-25.0,-35.0,-45.0,-35.0,-50.0
35%,-20.0,-25.0,-35.0,-45.0,-35.0,-45.0
36%,-15.0,-25.0,-35.0,-45.0,-35.0,-45.0
37%,-15.0,-25.0,-35.0,-40.349999999999966,-35.0,-45.0
38%,-15.0,-25.0,-35.0,-40.0,-34.0,-45.0
39%,-15.0,-25.0,-35.0,-40.0,-31.999999999999993,-45.0
40%,-15.0,-25.0,-35.0,-40.0,-30.0,-45.0
41%,-15.0,-25.0,-35.0,-40.0,-30.0,-45.0
42%,-15.0,-25.0,-35.0,-40.0,-30.0,-45.0
43%,-15.0,-25.0,-35.0,-40.0,-30.0,-45.0
44%,-15.0,-25.0,-35.0,-40.0,-30.0,-40.0
45%,-15.0,-25.0,-35.0,-40.0,-30.0,-40.0
46%,-15.0,-25.0,-35.0,-40.0,-30.0,-40.0
47%,-15.0,-25.0,-30.0,-40.0,-30.0,-40.0
