,12,24,36,48,72
count,32.0,36.0,10.0,6.0,4.0
mean,6.875,12.083333333333334,23.5,21.666666666666668,27.5
std,9.223917018343688,7.007648882267351,9.44281031614353,7.52772652709081,12.583057392117917
min,-15.0,0.0,10.0,15.0,10.0
1%,-11.9,1.7500000000000002,10.0,15.0,10.6
2%,-8.8,3.5000000000000004,10.0,15.0,11.2
3%,-5.700000000000001,5.0,10.0,15.0,11.8
4%,-5.0,5.0,10.0,15.0,12.4
5%,-5.0,5.0,10.0,15.0,13.0
6%,-5.0,5.0,10.0,15.0,13.6
7%,-5.0,5.0,10.0,15.0,14.2
8%,-5.0,5.0,10.0,15.0,14.8
9%,-5.0,5.0,10.0,15.0,15.4
10%,-4.5,5.0,10.0,15.0,16.0
11%,-2.9499999999999993,5.0,10.0,15.0,16.6
12%,-1.4000000000000012,5.0,10.8,15.0,17.2
13%,0.0,5.0,11.7,15.0,17.8
14%,0.0,5.0,12.600000000000001,15.0,18.4
15%,0.0,5.0,13.499999999999998,15.0,19.0
16%,0.0,5.0,14.399999999999999,15.0,19.6
17%,0.0,5.0,15.3,15.0,20.2
18%,0.0,5.0,16.2,15.0,20.8
19%,0.0,5.0,17.1,15.0,21.400000000000002
20%,0.0,5.0,18.0,15.0,22.0
21%,0.0,5.0,18.9,15.25,22.6
22%,0.0,5.0,19.8,15.5,23.200000000000003
23%,0.0,5.0,20.0,15.75,23.8
24%,0.0,5.0,20.0,16.0,24.4
25%,0.0,5.0,20.0,16.25,25.0
26%,0.3000000000000025,5.0,20.0,16.5,25.6
27%,1.850000000000005,5.0,20.0,16.75,26.200000000000003
28%,3.4000000000000075,5.0,20.0,17.0,26.8
29%,4.950000000000001,5.749999999999993,20.0,17.25,27.4
30%,5.0,7.5,20.0,17.5,28.0
31%,5.0,9.249999999999998,20.0,17.75,28.599999999999998
32%,5.0,10.0,20.0,18.0,29.2
33%,5.0,10.0,20.0,18.25,29.8
34%,5.0,10.0,20.0,18.5,30.0
35%,5.0,10.0,20.0,18.75,30.0
36%,5.0,10.0,20.0,19.0,30.0
37%,5.0,10.0,20.0,19.25,30.0
38%,5.0,10.0,20.0,19.5,30.0
39%,5.0,10.0,20.0,19.75,30.0
40%,5.0,10.0,20.0,20.0,30.0
41%,5.0,10.0,20.0,20.0,30.0
42%,5.0,10.0,20.0,20.0,30.0
43%,5.0,10.0,20.0,20.0,30.0
44%,5.0,10.0,20.0,20.0,30.0
45%,5.0,10.0,20.25,20.0,30.0
46%,5.0,10.0,20.700000000000003,20.0,30.0
47%,5.0,10.0,21.15,20.0,30.0
48%,5.0,10.0,21.6,20.0,30.0
49%,5.0,10.0,22.05,20.0,30.0
50%,5.0,10.0,22.5,20.0,30.0
51%,5.0,10.0,22.95,20.0,30.0
52%,5.0,10.0,23.4,20.0,30.0
53%,5.0,10.0,23.85,20.0,30.0
54%,5.0,10.0,24.3,20.0,30.0
55%,5.0,10.0,24.75,20.0,30.0
56%,5.0,10.0,25.200000000000003,20.0,30.0
57%,5.0,10.0,25.65,20.0,30.0
58%,5.0,10.0,26.099999999999998,20.0,30.0
59%,5.0,10.0,26.549999999999997,20.0,30.0
60%,5.0,10.0,26.999999999999996,20.0,30.0
61%,5.0,11.74999999999999,27.450000000000003,20.25,30.0
62%,6.099999999999994,13.499999999999996,27.9,20.5,30.0
63%,7.650000000000006,15.0,28.35,20.75,30.0
64%,9.2,15.0,28.799999999999997,21.0,30.0
65%,10.0,15.0,29.250000000000004,21.25,30.0
66%,10.0,15.0,29.700000000000003,21.5,30.0
67%,10.0,15.0,30.0,21.75,30.1
68%,10.0,15.0,30.0,22.0,30.4
69%,10.0,15.0,30.0,22.25,30.7
70%,10.0,15.0,30.0,22.5,30.999999999999996
71%,10.0,15.0,30.0,22.75,31.299999999999997
72%,10.0,15.0,30.0,23.0,31.6
73%,10.0,15.0,30.0,23.25,31.9
74%,10.0,15.0,30.0,23.5,32.199999999999996
75%,11.25,16.25,30.0,23.75,32.5
76%,12.799999999999994,18.000000000000007,30.0,24.0,32.800000000000004
77%,14.350000000000005,19.749999999999996,30.0,24.25,33.1
78%,15.0,20.0,30.0,24.5,33.4
79%,15.0,20.0,30.0,24.75,33.7
80%,15.0,20.0,30.0,25.0,34.0
81%,15.0,20.0,30.0,25.500000000000007,34.300000000000004
82%,15.0,20.0,30.0,25.999999999999996,34.6
83%,15.0,20.0,30.0,26.499999999999993,34.9
84%,15.0,20.0,30.0,27.0,35.2
85%,15.0,20.0,30.0,27.5,35.5
86%,15.0,20.0,30.0,28.0,35.8
87%,15.0,20.0,30.0,28.499999999999996,36.1
88%,16.400000000000006,20.0,30.0,29.000000000000004,36.4
89%,17.95,20.75000000000001,30.099999999999998,29.5,36.7
90%,19.50000000000001,22.5,30.999999999999996,30.0,37.0
91%,21.050000000000004,24.250000000000007,31.899999999999995,30.5,37.3
92%,22.599999999999998,25.0,32.80000000000001,31.000000000000007,37.6
93%,24.15000000000001,25.0,33.70000000000001,31.500000000000004,37.9
94%,25.0,25.0,34.599999999999994,31.999999999999993,38.199999999999996
95%,25.0,25.0,35.499999999999986,32.5,38.5
96%,25.0,25.0,36.400000000000006,33.0,38.8
97%,25.0,25.0,37.300000000000004,33.5,39.1
98%,25.0,25.0,38.2,34.0,39.4
99%,25.0,25.0,39.1,34.5,39.699999999999996
max,25.0,25.0,40.0,35.0,40.0
